capacity,orders_selected,selection_rate,average_return_probability,average_order_value,baseline_expected_loss,potential_loss_avoided,intervention_cost,net_benefit,roi,expected_return_capture_rate
0.05,198,0.049936948297604034,0.2820961463456429,55254.53898989898,211569.8038486428,84627.92153945712,29700.0,54927.92153945712,1.8494249676584888,0.049071376855868105
0.1,396,0.09987389659520807,0.3109528938941305,43430.23482323232,318628.167024184,127451.26680967362,59400.0,68051.26680967362,1.1456442223850778,0.10818217007477618
0.15,594,0.1498108448928121,0.3368965361608889,36343.157441077434,399899.88260699366,159959.95304279748,89100.0,70859.95304279748,0.795285668269332,0.17581215236238817
0.2,793,0.2,0.34823804104874445,32165.557604035304,466446.03880300716,186578.41552120287,118950.0,67628.41552120287,0.5685448971938031,0.24261368733787492
0.25,991,0.24993694829760404,0.35017642508984503,29502.973491422803,523427.15283819643,209370.8611352786,148650.0,60720.861135278596,0.4084820796184231,0.30487826147019814
0.3,1189,0.2998738965952081,0.356883090170123,26843.875054667787,572742.6209102033,229097.04836408133,178350.0,50747.04836408133,0.2845362958457041,0.3727981301226333
